[2022-04-18 15:57:19,014] INFO ManagerPortalEndpoint | Importing process: (290)
[2022-04-18 15:57:19,014] INFO ManagerPortalEndpoint | Importing process: (290)
[2022-04-18 15:57:33,101] INFO ManagerPortalEndpoint | Importing process: (298)
[2022-04-18 15:57:33,101] INFO ManagerPortalEndpoint | Importing process: (298)
[2022-04-18 15:57:43,990] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:43,990] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:44,010] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:44,010] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,936] INFO ProcessServiceImpl | Authentication principal=anonymousUser details=org.springframework.security.web.authentication.WebAuthenticationDetails@957e: RemoteIpAddress: 127.0.0.1; SessionId: null thread=Thread[http-bio-9000-exec-8,5,main]
[2022-04-18 15:57:45,936] INFO ProcessServiceImpl | Authentication principal=anonymousUser details=org.springframework.security.web.authentication.WebAuthenticationDetails@957e: RemoteIpAddress: 127.0.0.1; SessionId: null thread=Thread[http-bio-9000-exec-8,5,main]
[2022-04-18 15:57:45,948] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,948] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,949] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,949] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,951] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,951] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,952] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,952] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,954] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,954] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,956] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,956] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,957] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,957] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,957] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,957] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,960] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,960] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,962] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,962] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,964] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,964] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,965] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,965] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,966] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,966] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,968] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,968] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,969] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,969] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,972] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,972] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,973] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,973] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,975] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,975] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,977] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,977] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,979] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,979] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,981] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,981] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,982] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,982] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,983] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,983] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,985] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,985] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,987] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,987] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,989] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,989] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,991] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,991] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,991] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,991] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,993] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,995] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,995] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,996] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,996] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,997] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,997] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,997] WARN XMLUtils | stringToAnyElement returning NULL
[2022-04-18 15:57:45,997] WARN XMLUtils | stringToAnyElement returning NULL
